original,this,that,order
Scirpaceae=Cyperaceae=Poales,Scirpaceae,Cyperaceae,Poales
Scleriaceae=Cyperaceae=Poales,Scleriaceae,Cyperaceae,Poales
Sesleriaceae=Poaceae=Poales,Sesleriaceae,Poaceae,Poales
Sparganiaceae=Typhaceae=Poales,Sparganiaceae,Typhaceae,Poales
Spartinaceae=Poaceae=Poales,Spartinaceae,Poaceae,Poales
Sporobolaceae=Poaceae=Poales,Sporobolaceae,Poaceae,Poales
Stipaceae=Poaceae=Poales,Stipaceae,Poaceae,Poales
Streptochaetaceae=Poaceae=Poales,Streptochaetaceae,Poaceae,Poales
Tillandsiaceae=Bromeliaceae=Poales,Tillandsiaceae,Bromeliaceae,Poales
Triticaceae=Poaceae=Poales,Triticaceae,Poaceae,Poales
Zeaceae=Poaceae=Poales,Zeaceae,Poaceae,Poales
Zoysiaceae=Poaceae=Poales,Zoysiaceae,Poaceae,Poales
Lepidocarpaceae=Proteaceae=Proteales,Lepidocarpaceae,Proteaceae,Proteales
Aconitaceae=Ranunculaceae=Ranunculales,Aconitaceae,Ranunculaceae,Ranunculales
Actaeaceae=Ranunculaceae=Ranunculales,Actaeaceae,Ranunculaceae,Ranunculales
Anemonaceae=Ranunculaceae=Ranunculales,Anemonaceae,Ranunculaceae,Ranunculales
Aquilegiaceae=Ranunculaceae=Ranunculales,Aquilegiaceae,Ranunculaceae,Ranunculales
Calthaceae=Ranunculaceae=Ranunculales,Calthaceae,Ranunculaceae,Ranunculales
Chelidoniaceae=Papaveraceae=Ranunculales,Chelidoniaceae,Papaveraceae,Ranunculales
Cimicifugaceae=Ranunculaceae=Ranunculales,Cimicifugaceae,Ranunculaceae,Ranunculales
Clematidaceae=Ranunculaceae=Ranunculales,Clematidaceae,Ranunculaceae,Ranunculales
Corydalaceae=Papaveraceae=Ranunculales,Corydalaceae,Papaveraceae,Ranunculales
Decaisneaceae=Lardizabalaceae=Ranunculales,Decaisneaceae,Lardizabalaceae,Ranunculales
Delphiniaceae=Ranunculaceae=Ranunculales,Delphiniaceae,Ranunculaceae,Ranunculales
Diphylleiaceae=Berberidaceae=Ranunculales,Diphylleiaceae,Berberidaceae,Ranunculales
Epimediaceae=Berberidaceae=Ranunculales,Epimediaceae,Berberidaceae,Ranunculales
Eschscholziaceae=Papaveraceae=Ranunculales,Eschscholziaceae,Papaveraceae,Ranunculales
Fumariaceae=Papaveraceae=Ranunculales,Fumariaceae,Papaveraceae,Ranunculales
Glaucidiaceae=Ranunculaceae=Ranunculales,Glaucidiaceae,Ranunculaceae,Ranunculales
Helleboraceae=Ranunculaceae=Ranunculales,Helleboraceae,Ranunculaceae,Ranunculales
Hydrastidaceae=Ranunculaceae=Ranunculales,Hydrastidaceae,Ranunculaceae,Ranunculales
Hypecoaceae=Papaveraceae=Ranunculales,Hypecoaceae,Papaveraceae,Ranunculales
Kingdoniaceae=Circaeasteraceae=Ranunculales,Kingdoniaceae,Circaeasteraceae,Ranunculales
Leonticaceae=Berberidaceae=Ranunculales,Leonticaceae,Berberidaceae,Ranunculales
Nandinaceae=Berberidaceae=Ranunculales,Nandinaceae,Berberidaceae,Ranunculales
Nigellaceae=Ranunculaceae=Ranunculales,Nigellaceae,Ranunculaceae,Ranunculales
Platystemonaceae=Papaveraceae=Ranunculales,Platystemonaceae,Papaveraceae,Ranunculales
Podophyllaceae=Berberidaceae=Ranunculales,Podophyllaceae,Berberidaceae,Ranunculales
Pseliaceae=Menispermaceae=Ranunculales,Pseliaceae,Menispermaceae,Ranunculales
Pteridophyllaceae=Papaveraceae=Ranunculales,Pteridophyllaceae,Papaveraceae,Ranunculales
Ranzaniaceae=Berberidaceae=Ranunculales,Ranzaniaceae,Berberidaceae,Ranunculales
Sargentodoxaceae=Lardizabalaceae=Ranunculales,Sargentodoxaceae,Lardizabalaceae,Ranunculales
Sinofranchetiaceae=Lardizabalaceae=Ranunculales,Sinofranchetiaceae,Lardizabalaceae,Ranunculales
Thalictraceae=Ranunculaceae=Ranunculales,Thalictraceae,Ranunculaceae,Ranunculales
Agrimoniaceae=Rosaceae=Rosales,Agrimoniaceae,Rosaceae,Rosales
Alchemillaceae=Rosaceae=Rosales,Alchemillaceae,Rosaceae,Rosales
Amygdalaceae=Rosaceae=Rosales,Amygdalaceae,Rosaceae,Rosales
Artocarpaceae=Moraceae=Rosales,Artocarpaceae,Moraceae,Rosales
Cecropiaceae=Urticaceae=Rosales,Cecropiaceae,Urticaceae,Rosales
Celtidaceae=Cannabaceae=Rosales,Celtidaceae,Cannabaceae,Rosales
Cercocarpaceae=Rosaceae=Rosales,Cercocarpaceae,Rosaceae,Rosales
Chamaemoraceae=Rosaceae=Rosales,Chamaemoraceae,Rosaceae,Rosales
Coleogynaceae=Rosaceae=Rosales,Coleogynaceae,Rosaceae,Rosales
Cydoniaceae=Rosaceae=Rosales,Cydoniaceae,Rosaceae,Rosales
Dorsteniaceae=Moraceae=Rosales,Dorsteniaceae,Moraceae,Rosales
Dryadaceae=Rosaceae=Rosales,Dryadaceae,Rosaceae,Rosales
Ficaceae=Moraceae=Rosales,Ficaceae,Moraceae,Rosales
Fragariaceae=Rosaceae=Rosales,Fragariaceae,Rosaceae,Rosales
Frangulaceae=Rhamnaceae=Rosales,Frangulaceae,Rhamnaceae,Rosales
Gouaniaceae=Rhamnaceae=Rosales,Gouaniaceae,Rhamnaceae,Rosales
Hippophaeaceae=Elaeagnaceae=Rosales,Hippophaeaceae,Elaeagnaceae,Rosales
Humulaceae=Cannabaceae=Rosales,Humulaceae,Cannabaceae,Rosales
Lindleyaceae=Rosaceae=Rosales,Lindleyaceae,Rosaceae,Rosales
Lupulaceae=Cannabaceae=Rosales,Lupulaceae,Cannabaceae,Rosales
Malaceae=Rosaceae=Rosales,Malaceae,Rosaceae,Rosales
Mespilaceae=Rosaceae=Rosales,Mespilaceae,Rosaceae,Rosales
Neilliaceae=Rosaceae=Rosales,Neilliaceae,Rosaceae,Rosales
Phylicaceae=Rhamnaceae=Rosales,Phylicaceae,Rhamnaceae,Rosales
Potentillaceae=Rosaceae=Rosales,Potentillaceae,Rosaceae,Rosales
Poteriaceae=Rosaceae=Rosales,Poteriaceae,Rosaceae,Rosales
Prunaceae=Rosaceae=Rosales,Prunaceae,Rosaceae,Rosales
Pyraceae=Rosaceae=Rosales,Pyraceae,Rosaceae,Rosales
Rhodotypaceae=Rosaceae=Rosales,Rhodotypaceae,Rosaceae,Rosales
Sanguisorbaceae=Rosaceae=Rosales,Sanguisorbaceae,Rosaceae,Rosales
Sorbaceae=Rosaceae=Rosales,Sorbaceae,Rosaceae,Rosales
Spiraeaceae=Rosaceae=Rosales,Spiraeaceae,Rosaceae,Rosales
Tormentillaceae=Rosaceae=Rosales,Tormentillaceae,Rosaceae,Rosales
Ulmariaceae=Rosaceae=Rosales,Ulmariaceae,Rosaceae,Rosales
Ziziphaceae=Rhamnaceae=Rosales,Ziziphaceae,Rhamnaceae,Rosales
Meliosmaceae=Sabiaceae=Sabiales,Meliosmaceae,Sabiaceae,Sabiales
Wellingtoniaceae=Sabiaceae=Sabiales,Wellingtoniaceae,Sabiaceae,Sabiales
Amphorogynaceae=Santalaceae=Santalales,Amphorogynaceae,Santalaceae,Santalales
Anthobolaceae=Opiliaceae=Santalales,Anthobolaceae,Opiliaceae,Santalales
Arceuthobiaceae=Santalaceae=Santalales,Arceuthobiaceae,Santalaceae,Santalales
Arjonaceae=Schoepfiaceae=Santalales,Arjonaceae,Schoepfiaceae,Santalales
Bifariaceae=Santalaceae=Santalales,Bifariaceae,Santalaceae,Santalales
Canopodaceae=Santalaceae=Santalales,Canopodaceae,Santalaceae,Santalales
Cansjeraceae=Opiliaceae=Santalales,Cansjeraceae,Opiliaceae,Santalales
Cathedraceae=Aptandraceae=Santalales,Cathedraceae,Aptandraceae,Santalales
Cervantesiaceae=Santalaceae=Santalales,Cervantesiaceae,Santalaceae,Santalales
Chaunochitonaceae=Aptandraceae=Santalales,Chaunochitonaceae,Aptandraceae,Santalales
Comandraceae=Santalaceae=Santalales,Comandraceae,Santalaceae,Santalales
Dactylanthaceae=Balanophoraceae=Santalales,Dactylanthaceae,Balanophoraceae,Santalales
Dendrophthoaceae=Loranthaceae=Santalales,Dendrophthoaceae,Loranthaceae,Santalales
Elytranthaceae=Loranthaceae=Santalales,Elytranthaceae,Loranthaceae,Santalales
Eremolepidaceae=Santalaceae=Santalales,Eremolepidaceae,Santalaceae,Santalales
Exocarpaceae=Opiliaceae=Santalales,Exocarpaceae,Opiliaceae,Santalales
Gaiadendraceae=Loranthaceae=Santalales,Gaiadendraceae,Loranthaceae,Santalales
Ginalloaceae=Santalaceae=Santalales,Ginalloaceae,Santalaceae,Santalales
Hachetteaceae=Balanophoraceae=Santalales,Hachetteaceae,Balanophoraceae,Santalales
Harmandiaceae=Aptandraceae=Santalales,Harmandiaceae,Aptandraceae,Santalales
Heisteriaceae=Erythropalaceae=Santalales,Heisteriaceae,Erythropalaceae,Santalales
Helosidaceae=Balanophoraceae=Santalales,Helosidaceae,Balanophoraceae,Santalales
Langsdorffiaceae=Balanophoraceae=Santalales,Langsdorffiaceae,Balanophoraceae,Santalales
Lepidocerataceae=Santalaceae=Santalales,Lepidocerataceae,Santalaceae,Santalales
Lophophytaceae=Balanophoraceae=Santalales,Lophophytaceae,Balanophoraceae,Santalales
Mystropetalaceae=Balanophoraceae=Santalales,Mystropetalaceae,Balanophoraceae,Santalales
Nanodeaceae=Santalaceae=Santalales,Nanodeaceae,Santalaceae,Santalales
Nuytsiaceae=Loranthaceae=Santalales,Nuytsiaceae,Loranthaceae,Santalales
Osyridaceae=Santalaceae=Santalales,Osyridaceae,Santalaceae,Santalales
Phoradendraceae=Santalaceae=Santalales,Phoradendraceae,Santalaceae,Santalales
Psittacanthaceae=Loranthaceae=Santalales,Psittacanthaceae,Loranthaceae,Santalales
Sarcophytaceae=Balanophoraceae=Santalales,Sarcophytaceae,Balanophoraceae,Santalales
Scorodocarpaceae=Strombosiaceae=Santalales,Scorodocarpaceae,Strombosiaceae,Santalales
Scybaliaceae=Balanophoraceae=Santalales,Scybaliaceae,Balanophoraceae,Santalales
Tetrastylidiaceae=Strombosiaceae=Santalales,Tetrastylidiaceae,Strombosiaceae,Santalales
Thesiaceae=Santalaceae=Santalales,Thesiaceae,Santalaceae,Santalales
Viscaceae=Santalaceae=Santalales,Viscaceae,Santalaceae,Santalales
Aceraceae=Sapindaceae=Sapindales,Aceraceae,Sapindaceae,Sapindales
Aesculaceae=Sapindaceae=Sapindales,Aesculaceae,Sapindaceae,Sapindales
Ailanthaceae=Simaroubaceae=Sapindales,Ailanthaceae,Simaroubaceae,Sapindales
Aitoniaceae=Meliaceae=Sapindales,Aitoniaceae,Meliaceae,Sapindales
Allophylaceae=Sapindaceae=Sapindales,Allophylaceae,Sapindaceae,Sapindales
Amyridaceae=Rutaceae=Sapindales,Amyridaceae,Rutaceae,Sapindales
Aurantiaceae=Rutaceae=Sapindales,Aurantiaceae,Rutaceae,Sapindales
Balsameaceae=Burseraceae=Sapindales,Balsameaceae,Burseraceae,Sapindales
Blepharocaryaceae=Anacardiaceae=Sapindales,Blepharocaryaceae,Anacardiaceae,Sapindales
Boroniaceae=Rutaceae=Sapindales,Boroniaceae,Rutaceae,Sapindales
Castelaceae=Simaroubaceae=Sapindales,Castelaceae,Simaroubaceae,Sapindales
Cedrelaceae=Meliaceae=Sapindales,Cedrelaceae,Meliaceae,Sapindales
Citraceae=Rutaceae=Sapindales,Citraceae,Rutaceae,Sapindales
Cneoraceae=Rutaceae=Sapindales,Cneoraceae,Rutaceae,Sapindales
Comocladiaceae=Anacardiaceae=Sapindales,Comocladiaceae,Anacardiaceae,Sapindales
Correaceae=Rutaceae=Sapindales,Correaceae,Rutaceae,Sapindales
Dictamnaceae=Rutaceae=Sapindales,Dictamnaceae,Rutaceae,Sapindales
Diosmaceae=Rutaceae=Sapindales,Diosmaceae,Rutaceae,Sapindales
Diplolaenaceae=Rutaceae=Sapindales,Diplolaenaceae,Rutaceae,Sapindales
Dodonaeaceae=Sapindaceae=Sapindales,Dodonaeaceae,Sapindaceae,Sapindales
Flindersiaceae=Rutaceae=Sapindales,Flindersiaceae,Rutaceae,Sapindales
Fraxinellaceae=Rutaceae=Sapindales,Fraxinellaceae,Rutaceae,Sapindales
Hippocastanaceae=Sapindaceae=Sapindales,Hippocastanaceae,Sapindaceae,Sapindales
Holacanthaceae=Simaroubaceae=Sapindales,Holacanthaceae,Simaroubaceae,Sapindales
Jamboliferaceae=Rutaceae=Sapindales,Jamboliferaceae,Rutaceae,Sapindales
Julianiaceae=Anacardiaceae=Sapindales,Julianiaceae,Anacardiaceae,Sapindales
Koelreuteriaceae=Sapindaceae=Sapindales,Koelreuteriaceae,Sapindaceae,Sapindales
Leitneriaceae=Simaroubaceae=Sapindales,Leitneriaceae,Simaroubaceae,Sapindales
Lentiscaceae=Anacardiaceae=Sapindales,Lentiscaceae,Anacardiaceae,Sapindales
Ornithrophaceae=Sapindaceae=Sapindales,Ornithrophaceae,Sapindaceae,Sapindales
Paulliniaceae=Sapindaceae=Sapindales,Paulliniaceae,Sapindaceae,Sapindales
Paviaceae=Sapindaceae=Sapindales,Paviaceae,Sapindaceae,Sapindales
Peganaceae=Nitrariaceae=Sapindales,Peganaceae,Nitrariaceae,Sapindales
Pilocarpaceae=Rutaceae=Sapindales,Pilocarpaceae,Rutaceae,Sapindales
Pistaciaceae=Anacardiaceae=Sapindales,Pistaciaceae,Anacardiaceae,Sapindales
Podoaceae=Anacardiaceae=Sapindales,Podoaceae,Anacardiaceae,Sapindales
Ptaeroxylaceae=Rutaceae=Sapindales,Ptaeroxylaceae,Rutaceae,Sapindales
Pteleaceae=Rutaceae=Sapindales,Pteleaceae,Rutaceae,Sapindales
Quassiaceae=Simaroubaceae=Sapindales,Quassiaceae,Simaroubaceae,Sapindales
Rhoaceae=Anacardiaceae=Sapindales,Rhoaceae,Anacardiaceae,Sapindales
Schinaceae=Anacardiaceae=Sapindales,Schinaceae,Anacardiaceae,Sapindales
Simabaceae=Simaroubaceae=Sapindales,Simabaceae,Simaroubaceae,Sapindales
Soulameaceae=Simaroubaceae=Sapindales,Soulameaceae,Simaroubaceae,Sapindales
Spatheliaceae=Rutaceae=Sapindales,Spatheliaceae,Rutaceae,Sapindales
Spondiadaceae=Anacardiaceae=Sapindales,Spondiadaceae,Anacardiaceae,Sapindales
Swieteniaceae=Meliaceae=Sapindales,Swieteniaceae,Meliaceae,Sapindales
Tetradiclidaceae=Nitrariaceae=Sapindales,Tetradiclidaceae,Nitrariaceae,Sapindales
Vernicaceae=Anacardiaceae=Sapindales,Vernicaceae,Anacardiaceae,Sapindales
Xanthoceraceae=Sapindaceae=Sapindales,Xanthoceraceae,Sapindaceae,Sapindales
Zanthoxylaceae=Rutaceae=Sapindales,Zanthoxylaceae,Rutaceae,Sapindales
Brachycaulaceae=Saxifragaceae=Saxifragales,Brachycaulaceae,Saxifragaceae,Saxifragales
Cercodiaceae=Haloragaceae=Saxifragales,Cercodiaceae,Haloragaceae,Saxifragales
Chrysospleniaceae=Saxifragaceae=Saxifragales,Chrysospleniaceae,Saxifragaceae,Saxifragales
Cotyledonaceae=Crassulaceae=Saxifragales,Cotyledonaceae,Crassulaceae,Saxifragales
Disanthaceae=Hamamelidaceae=Saxifragales,Disanthaceae,Hamamelidaceae,Saxifragales
Exbucklandiaceae=Hamamelidaceae=Saxifragales,Exbucklandiaceae,Hamamelidaceae,Saxifragales
Fothergillaceae=Hamamelidaceae=Saxifragales,Fothergillaceae,Hamamelidaceae,Saxifragales
Medusandraceae=Peridiscaceae=Saxifragales,Medusandraceae,Peridiscaceae,Saxifragales
Myriophyllaceae=Haloragaceae=Saxifragales,Myriophyllaceae,Haloragaceae,Saxifragales
Parrotiaceae=Hamamelidaceae=Saxifragales,Parrotiaceae,Hamamelidaceae,Saxifragales
Pectiantiaceae=Saxifragaceae=Saxifragales,Pectiantiaceae,Saxifragaceae,Saxifragales
Pterostemonaceae=Iteaceae=Saxifragales,Pterostemonaceae,Iteaceae,Saxifragales
Rhodiolaceae=Crassulaceae=Saxifragales,Rhodiolaceae,Crassulaceae,Saxifragales
Rhodoleiaceae=Hamamelidaceae=Saxifragales,Rhodoleiaceae,Hamamelidaceae,Saxifragales
Ribesiaceae=Grossulariaceae=Saxifragales,Ribesiaceae,Grossulariaceae,Saxifragales
Sedaceae=Crassulaceae=Saxifragales,Sedaceae,Crassulaceae,Saxifragales
Sempervivaceae=Crassulaceae=Saxifragales,Sempervivaceae,Crassulaceae,Saxifragales
Tillaeaceae=Crassulaceae=Saxifragales,Tillaeaceae,Crassulaceae,Saxifragales
Atropaceae=Solanaceae=Solanales,Atropaceae,Solanaceae,Solanales
Browalliaceae=Solanaceae=Solanales,Browalliaceae,Solanaceae,Solanales
Cestraceae=Solanaceae=Solanales,Cestraceae,Solanaceae,Solanales
Cressaceae=Convolvulaceae=Solanales,Cressaceae,Convolvulaceae,Solanales
Cuscutaceae=Convolvulaceae=Solanales,Cuscutaceae,Convolvulaceae,Solanales
Daturaceae=Solanaceae=Solanales,Daturaceae,Solanaceae,Solanales
Dichondraceae=Convolvulaceae=Solanales,Dichondraceae,Convolvulaceae,Solanales
Duckeodendraceae=Solanaceae=Solanales,Duckeodendraceae,Solanaceae,Solanales
Erycibaceae=Convolvulaceae=Solanales,Erycibaceae,Convolvulaceae,Solanales
Evolvulaceae=Convolvulaceae=Solanales,Evolvulaceae,Convolvulaceae,Solanales
Goetzeaceae=Solanaceae=Solanales,Goetzeaceae,Solanaceae,Solanales
Humbertiaceae=Convolvulaceae=Solanales,Humbertiaceae,Convolvulaceae,Solanales
Hyoscyamaceae=Solanaceae=Solanales,Hyoscyamaceae,Solanaceae,Solanales
Kaliphoraceae=Montiniaceae=Solanales,Kaliphoraceae,Montiniaceae,Solanales
Lyciaceae=Solanaceae=Solanales,Lyciaceae,Solanaceae,Solanales
Nicotianaceae=Solanaceae=Solanales,Nicotianaceae,Solanaceae,Solanales
Nolanaceae=Solanaceae=Solanales,Nolanaceae,Solanaceae,Solanales
Poranaceae=Convolvulaceae=Solanales,Poranaceae,Convolvulaceae,Solanales
Salpiglossidaceae=Solanaceae=Solanales,Salpiglossidaceae,Solanaceae,Solanales
Sclerophylacaceae=Solanaceae=Solanales,Sclerophylacaceae,Solanaceae,Solanales
Tetracentraceae=Trochodendraceae=Trochodendrales,Tetracentraceae,Trochodendraceae,Trochodendrales
Anchusaceae=Boraginaceae=unplaced asterid I,Anchusaceae,Boraginaceae,unplaced asterid I
Buglossaceae=Boraginaceae=unplaced asterid I,Buglossaceae,Boraginaceae,unplaced asterid I
Cerinthaceae=Boraginaceae=unplaced asterid I,Cerinthaceae,Boraginaceae,unplaced asterid I
Codonaceae=Boraginaceae=unplaced asterid I,Codonaceae,Boraginaceae,unplaced asterid I
Cordiaceae=Boraginaceae=unplaced asterid I,Cordiaceae,Boraginaceae,unplaced asterid I
Cynoglossaceae=Boraginaceae=unplaced asterid I,Cynoglossaceae,Boraginaceae,unplaced asterid I
Echiaceae=Boraginaceae=unplaced asterid I,Echiaceae,Boraginaceae,unplaced asterid I
Ehretiaceae=Boraginaceae=unplaced asterid I,Ehretiaceae,Boraginaceae,unplaced asterid I
Ellisiaceae=Boraginaceae=unplaced asterid I,Ellisiaceae,Boraginaceae,unplaced asterid I
Eutocaceae=Boraginaceae=unplaced asterid I,Eutocaceae,Boraginaceae,unplaced asterid I
Heliotropiaceae=Boraginaceae=unplaced asterid I,Heliotropiaceae,Boraginaceae,unplaced asterid I
Hoplestigmataceae=Boraginaceae=unplaced asterid I,Hoplestigmataceae,Boraginaceae,unplaced asterid I
Hydrophyllaceae=Boraginaceae=unplaced asterid I,Hydrophyllaceae,Boraginaceae,unplaced asterid I
Lennoaceae=Boraginaceae=unplaced asterid I,Lennoaceae,Boraginaceae,unplaced asterid I
Onosmaceae=Boraginaceae=unplaced asterid I,Onosmaceae,Boraginaceae,unplaced asterid I
Sagoneaceae=Boraginaceae=unplaced asterid I,Sagoneaceae,Boraginaceae,unplaced asterid I
Sebestenaceae=Boraginaceae=unplaced asterid I,Sebestenaceae,Boraginaceae,unplaced asterid I
Wellstediaceae=Boraginaceae=unplaced asterid I,Wellstediaceae,Boraginaceae,unplaced asterid I
Baxteriaceae=Dasypogonaceae=unplacedCommelinid,Baxteriaceae,Dasypogonaceae,unplacedCommelinid
Calectasiaceae=Dasypogonaceae=unplacedCommelinid,Calectasiaceae,Dasypogonaceae,unplacedCommelinid
Kingiaceae=Dasypogonaceae=unplacedCommelinid,Kingiaceae,Dasypogonaceae,unplacedCommelinid
Ampelidopsaceae=Vitaceae=Vitales,Ampelidopsaceae,Vitaceae,Vitales
Cissaceae=Vitaceae=Vitales,Cissaceae,Vitaceae,Vitales
Leeaceae=Vitaceae=Vitales,Leeaceae,Vitaceae,Vitales
Pterisanthaceae=Vitaceae=Vitales,Pterisanthaceae,Vitaceae,Vitales
Alpiniaceae=Zingiberaceae=Zingiberales,Alpiniaceae,Zingiberaceae,Zingiberales
Amomaceae=Zingiberaceae=Zingiberales,Amomaceae,Zingiberaceae,Zingiberales
Curcumaceae=Zingiberaceae=Zingiberales,Curcumaceae,Zingiberaceae,Zingiberales
Agialidaceae=Zygophyllaceae=Zygophyllales,Agialidaceae,Zygophyllaceae,Zygophyllales
Balanitaceae=Zygophyllaceae=Zygophyllales,Balanitaceae,Zygophyllaceae,Zygophyllales
Tribulaceae=Zygophyllaceae=Zygophyllales,Tribulaceae,Zygophyllaceae,Zygophyllales
Adoxaceae=Dipsacales,Adoxaceae,,Dipsacales
Aextoxicaceae=Berberidopsidales,Aextoxicaceae,,Berberidopsidales
Aizoaceae=Caryophyllales,Aizoaceae,,Caryophyllales
Akaniaceae=Brassicales,Akaniaceae,,Brassicales
Alismataceae=Alismatales,Alismataceae,,Alismatales
Alseuosmiaceae=Asterales,Alseuosmiaceae,,Asterales
Alstroemeriaceae=Liliales,Alstroemeriaceae,,Liliales
Altingiaceae=Saxifragales,Altingiaceae,,Saxifragales
Alzateaceae=Myrtales,Alzateaceae,,Myrtales
Amaranthaceae=Caryophyllales,Amaranthaceae,,Caryophyllales
Amaryllidaceae=Asparagales,Amaryllidaceae,,Asparagales
Amborellaceae=Amborellales,Amborellaceae,,Amborellales
Anacampserotaceae=Caryophyllales,Anacampserotaceae,,Caryophyllales
Anacardiaceae=Sapindales,Anacardiaceae,,Sapindales
Anarthriaceae=Poales,Anarthriaceae,,Poales
Ancistrocladaceae=Caryophyllales,Ancistrocladaceae,,Caryophyllales
Anisophylleaceae=Cucurbitales,Anisophylleaceae,,Cucurbitales
Annonaceae=Magnoliales,Annonaceae,,Magnoliales
Aphanopetalaceae=Saxifragales,Aphanopetalaceae,,Saxifragales
Aphloiaceae=Crossosomatales,Aphloiaceae,,Crossosomatales
Apiaceae=Apiales,Apiaceae,,Apiales
Apocynaceae=Gentianales,Apocynaceae,,Gentianales
Apodanthaceae=Cucurbitales,Apodanthaceae,,Cucurbitales
Aponogetonaceae=Alismatales,Aponogetonaceae,,Alismatales
Aptandraceae=Santalales,Aptandraceae,,Santalales
Aquifoliaceae=Aquifoliales,Aquifoliaceae,,Aquifoliales
Araceae=Alismatales,Araceae,,Alismatales
Araliaceae=Apiales,Araliaceae,,Apiales
Araucariaceae=Pinales,Araucariaceae,,Pinales
Arecaceae=Arecales,Arecaceae,,Arecales
Argophyllaceae=Asterales,Argophyllaceae,,Asterales
Aristolochiaceae=Piperales,Aristolochiaceae,,Piperales
Asparagaceae=Asparagales,Asparagaceae,,Asparagales
Asteliaceae=Asparagales,Asteliaceae,,Asparagales
Asteraceae=Asterales,Asteraceae,,Asterales
Asteropeiaceae=Caryophyllales,Asteropeiaceae,,Caryophyllales
Atherospermataceae=Laurales,Atherospermataceae,,Laurales
Austrobaileyaceae=Austrobaileyales,Austrobaileyaceae,,Austrobaileyales
Balanopaceae=Malpighiales,Balanopaceae,,Malpighiales
Balanophoraceae=Santalales,Balanophoraceae,,Santalales
Balsaminaceae=Ericales,Balsaminaceae,,Ericales
Barbeuiaceae=Caryophyllales,Barbeuiaceae,,Caryophyllales
Barbeyaceae=Rosales,Barbeyaceae,,Rosales
Basellaceae=Caryophyllales,Basellaceae,,Caryophyllales
Bataceae=Brassicales,Bataceae,,Brassicales
Begoniaceae=Cucurbitales,Begoniaceae,,Cucurbitales
Berberidaceae=Ranunculales,Berberidaceae,,Ranunculales
Berberidopsidaceae=Berberidopsidales,Berberidopsidaceae,,Berberidopsidales
Betulaceae=Fagales,Betulaceae,,Fagales
Biebersteiniaceae=Sapindales,Biebersteiniaceae,,Sapindales
Bignoniaceae=Lamiales,Bignoniaceae,,Lamiales
Bixaceae=Malvales,Bixaceae,,Malvales
Blandfordiaceae=Asparagales,Blandfordiaceae,,Asparagales
"Bogutchantaceae=fossil??""Hamamelidales""",Bogutchantaceae,,Hamamelidales
Bonnetiaceae=Malpighiales,Bonnetiaceae,,Malpighiales
Boraginaceae=unplaced asterid I,Boraginaceae,,unplaced asterid I
Borthwickiaceae=Brassicales,Borthwickiaceae,,Brassicales
Boryaceae=Asparagales,Boryaceae,,Asparagales
Brassicaceae=Brassicales,Brassicaceae,,Brassicales
Bromeliaceae=Poales,Bromeliaceae,,Poales
Brunelliaceae=Oxalidales,Brunelliaceae,,Oxalidales
Bruniaceae=Bruniales,Bruniaceae,,Bruniales
Burmanniaceae=Dioscoreales,Burmanniaceae,,Dioscoreales
Burseraceae=Sapindales,Burseraceae,,Sapindales
Butomaceae=Alismatales,Butomaceae,,Alismatales
Buxaceae=Buxales,Buxaceae,,Buxales
Byblidaceae=Lamiales,Byblidaceae,,Lamiales
Cabombaceae=Nymphaeales,Cabombaceae,,Nymphaeales
Cactaceae=Caryophyllales,Cactaceae,,Caryophyllales
Calceolariaceae=Lamiales,Calceolariaceae,,Lamiales
Calophyllaceae=Malpighiales,Calophyllaceae,,Malpighiales
Calycanthaceae=Laurales,Calycanthaceae,,Laurales
Calyceraceae=Asterales,Calyceraceae,,Asterales
Campanulaceae=Asterales,Campanulaceae,,Asterales
Campynemataceae=Liliales,Campynemataceae,,Liliales
Canellaceae=Canellales,Canellaceae,,Canellales
Cannabaceae=Rosales,Cannabaceae,,Rosales
Cannaceae=Zingiberales,Cannaceae,,Zingiberales
Capparaceae=Brassicales,Capparaceae,,Brassicales
Caprifoliaceae=Dipsacales,Caprifoliaceae,,Dipsacales
Cardiopteridaceae=Aquifoliales,Cardiopteridaceae,,Aquifoliales
Caricaceae=Brassicales,Caricaceae,,Brassicales
Carlemanniaceae=Lamiales,Carlemanniaceae,,Lamiales
Caryocaraceae=Malpighiales,Caryocaraceae,,Malpighiales
Caryophyllaceae=Caryophyllales,Caryophyllaceae,,Caryophyllales
Casuarinaceae=Fagales,Casuarinaceae,,Fagales
Celastraceae=Celastrales,Celastraceae,,Celastrales
Centrolepidaceae=Poales,Centrolepidaceae,,Poales
Centroplacaceae=Malpighiales,Centroplacaceae,,Malpighiales
Cephalotaceae=Oxalidales,Cephalotaceae,,Oxalidales
Ceratophyllaceae=Ceratophyllales,Ceratophyllaceae,,Ceratophyllales
Cercidiphyllaceae=Saxifragales,Cercidiphyllaceae,,Saxifragales
Chloranthaceae=Chloranthales,Chloranthaceae,,Chloranthales
Chrysobalanaceae=Malpighiales,Chrysobalanaceae,,Malpighiales
Circaeasteraceae=Ranunculales,Circaeasteraceae,,Ranunculales
Cistaceae=Malvales,Cistaceae,,Malvales
Cleomaceae=Brassicales,Cleomaceae,,Brassicales
Clethraceae=Ericales,Clethraceae,,Ericales
Clusiaceae=Malpighiales,Clusiaceae,,Malpighiales
